Date,Actual value,Predicted value
8/13/2021,32654,68990.96
8/14/2021,53447,65973.016
8/15/2021,158867,74215.24
8/16/2021,104177,100858.31
8/17/2021,56165,89601.75
8/18/2021,56053,74722.89
8/19/2021,102190,82958.07
8/20/2021,103467,87448.9
8/21/2021,108421,89610.555
8/22/2021,71115,93786.95
8/23/2021,146966,83073.78
8/24/2021,53037,109927.88
8/25/2021,22455,81103.76
8/26/2021,66949,65158.965
8/27/2021,79872,88939.86
8/28/2021,41655,72771.36
8/29/2021,93127,68925.7
8/30/2021,137518,89008.27
8/31/2021,53254,96631.1
9/1/2021,57522,73999.41
9/2/2021,47853,77833.63
9/3/2021,61577,74409.95
9/4/2021,60472,70694.88
9/5/2021,72598,77299.69
9/6/2021,42949,75288.61
9/7/2021,33968,69070.45
9/8/2021,30450,66801.77
9/9/2021,106729,66102.78
9/10/2021,60184,88275.94
9/11/2021,37927,71533.43
9/12/2021,77581,67058.22
9/13/2021,77495,86258.6
9/14/2021,80066,74245.67
9/15/2021,42499,81591.68
9/16/2021,27750,70622.68
9/17/2021,31039,64988.58
9/18/2021,38034,67570.72
9/19/2021,45666,65329.332
9/20/2021,38176,68943.8
9/21/2021,14865,66683.91
9/22/2021,28198,61963.598
9/23/2021,19171,65951.05
9/24/2021,17858,62189.69
9/25/2021,36465,62200.324
9/26/2021,22794,68229.09
9/27/2021,36975,62355.402
9/28/2021,11854,68372.55
9/29/2021,38101,61657.523
9/30/2021,56582,67782.05
10/1/2021,45799,73815.17
10/2/2021,38097,67010.89
10/3/2021,90888,69470.734
10/4/2021,120517,85119.266
10/5/2021,65633,90783.21
10/6/2021,64357,76711.78
10/7/2021,6976,79600.62
10/8/2021,22518,64242.566
10/9/2021,44920,63058.45
10/10/2021,42873,71840.516
10/11/2021,89189,64221.75
10/12/2021,47458,86064.65
10/13/2021,70.677,68172.73
10/14/2021,104414,60641.473
10/15/2021,182379,92334.984
10/16/2021,133283,104484.32
10/17/2021,93598,101581.445
10/18/2021,77960,95624.79
10/19/2021,47323,93075.25
10/20/2021,99975,75893.73
10/21/2021,130895,94297.95
10/22/2021,129986,101755.97
10/23/2021,123160,103679.35
10/24/2021,149312,108863.734
10/25/2021,105420,122629.32
10/26/2021,97357,108201.484
10/27/2021,129152,105083.23
10/28/2021,182510,121863.14
10/29/2021,165330,140600.38
10/30/2021,129663,134167.75
10/31/2021,94751,127178.12
11/1/2021,162248,116036.55
11/2/2021,152959,145842.62
11/3/2021,142719,132805.66
11/4/2021,158075,133364.66
11/5/2021,124127,142244.11
11/6/2021,131255,128484.305
11/7/2021,98523,131101.84
11/8/2021,163984,119008.305
11/9/2021,189661,145905.94
11/10/2021,206854,148439.34
11/11/2021,171217,155878.42
11/12/2021,155512,142788.8
11/13/2021,174443,143628.03
11/14/2021,189236,149774.16
11/15/2021,171920,153684.05
11/16/2021,122637,144599.86
11/17/2021,120727,131273.6
11/18/2021,88880,132458.48
11/19/2021,70170,117281.4
11/20/2021,53676,103478.23
11/21/2021,68643,93038.445
11/22/2021,102913,91142.88
11/23/2021,161145,101604.07
11/24/2021,129858,124708.93
11/25/2021,214324,115299.445
11/26/2021,233131,157614.53
11/27/2021,190730,153533.47
11/28/2021,159406,147311.98
11/29/2021,145564,140325.31
11/30/2021,172618,141503.84
12/1/2021,151390,148689.03
12/2/2021,117662,139184.48
12/3/2021,180067,127611.49
12/4/2021,199475,156586.64
12/5/2021,205910,152117.56
12/6/2021,154525,155744.7
12/7/2021,188142,138828.55
12/8/2021,195740,157770.39
12/9/2021,185991,151822.28
12/10/2021,175152,151933.05
12/11/2021,192225,146535.8
12/12/2021,193193,156996.62
12/13/2021,163153,151091.61
12/14/2021,118920,144790.95
12/15/2021,167661,129588.48
12/16/2021,171989,153445.38
12/17/2021,183386,144358.27
12/18/2021,94014,152298.62
12/19/2021,136944,118616.555
12/20/2021,156092,141862.62
12/21/2021,175220,140111.11
12/22/2021,214392,149849.1
12/23/2021,202881,157274.03
12/24/2021,164753,156272.11
12/25/2021,193929,140868.3
12/26/2021,170405,159619.4
12/27/2021,174401,143514.66
12/28/2021,124345,150864.02
12/29/2021,159061,129622.586
12/30/2021,113520,149892.17
12/31/2021,87671,124072.805
1/1/2022,88379,114782.61
1/2/2022,157587,116488.59
1/3/2022,182882,142240.97
1/4/2022,134268,142720.4
1/5/2022,152588,130580.05
1/6/2022,132666,141131.2
1/7/2022,161747,133386.34
1/8/2022,194820,143684.48
1/9/2022,135196,154891.14
1/10/2022,175280,131421
1/11/2022,216795,152226.64
1/12/2022,161499,160172.98
1/13/2022,62306,140773.66
1/14/2022,22118,107758.18
1/15/2022,102295,89549.484
1/16/2022,171057,117482.766
1/17/2022,42034,133696.64
1/18/2022,167616,85442.55
1/19/2022,162076,145639.16
1/20/2022,213874,128751
1/21/2022,214811,157223.31
1/22/2022,169658,151224.69
1/23/2022,184645,145608.92
1/24/2022,207082,149341.14
1/25/2022,214630,160813.4
1/26/2022,210308,154366.34
1/27/2022,221852,157723.11
1/28/2022,223114,158216.34
1/29/2022,200425,160227.33
1/30/2022,120308,151489.34
1/31/2022,179460,130545.734
2/1/2022,250149,157193
2/2/2022,218085,166786.3
2/3/2022,167690,154943.48
2/4/2022,152413,142365.48
2/5/2022,170542,144685.6
2/6/2022,231277,149730.02
2/7/2022,218766,165722.19
2/8/2022,177764,155020.92
2/9/2022,159874,147093.56
2/10/2022,234454,144610.03
2/11/2022,164292,170384.97
2/12/2022,166292,138729.98
2/13/2022,199439,147568.1
2/14/2022,98527,157208.27
2/15/2022,150859,122929.266
2/16/2022,84237,144096.03
2/17/2022,81805,116526.7
2/18/2022,82633,107895.87
2/19/2022,256604,112011.21
2/20/2022,195193,180490.14
2/21/2022,171320,135505.16
2/22/2022,166948,145015.89
2/23/2022,118714,146121.25
2/24/2022,94984,131164.08
2/25/2022,102983,118005.84
2/26/2022,179856,123749.16
2/27/2022,197754,150100.03
2/28/2022,181079,150871.98
3/1/2022,215084,145663.89
3/2/2022,205336,162161.58
3/3/2022,179355,153002.11
3/4/2022,206276,148379.39
3/5/2022,206263,158476.22
3/6/2022,157074,156105.86
3/7/2022,135473,140051.62
3/8/2022,137918,137506.39
3/9/2022,133709,138960.52
3/10/2022,144743,134803.84
3/11/2022,181328,138174.83
3/12/2022,171282,152764.97
3/13/2022,187698,144373.42
3/14/2022,180227,153292.02
3/15/2022,186647,148854.25
3/16/2022,202083,153003.17
3/17/2022,197868,155510.1
3/18/2022,86301,154460.34
3/19/2022,29710,117465.47
3/20/2022,10607,94177.31
3/21/2022,62652,80508.555
3/22/2022,35811,84121
3/23/2022,67680,69942.06
3/24/2022,180106,77884.13
3/25/2022,155020,115956.22
3/26/2022,178392,111967.21
3/27/2022,210041,132034.22
3/28/2022,211050,149661.58
3/29/2022,229092,150545.77
3/30/2022,219699,157837.27
3/31/2022,148138,156410.77
4/1/2022,173140,136346.4
4/2/2022,156752,151970.39
4/3/2022,133416,141291.6
4/4/2022,115924,134767.5
4/5/2022,180809,127954.37
4/6/2022,145410,156872.17
4/7/2022,193382,132392.17
4/8/2022,154675,158460.6
4/9/2022,164263,137202.86
4/10/2022,162400,148382.08
4/11/2022,69119,142312.83
4/12/2022,37164,111250.15
4/13/2022,96230,92500.07
4/14/2022,59593,115734.12
4/15/2022,26707,86357.73
4/16/2022,43998,69411.09
4/17/2022,93187,80276.67
4/18/2022,154815,82148.51
4/19/2022,156638,106229.13
4/20/2022,142266,113998.5
4/21/2022,125416,116588.98
4/22/2022,48857,117532.664
4/23/2022,33918,87771.91
4/24/2022,43718,75125.47
4/25/2022,90142,77786.52
4/26/2022,94460,82698.85
4/27/2022,44019,86422.57
4/28/2022,82602,70003.484
4/29/2022,154444,86063.65
4/30/2022,117989,104773.484
5/1/2022,75403,96858.11
5/2/2022,108137,85826.54
5/3/2022,94937,102572.56
5/4/2022,78860,92607.69
5/5/2022,137818,85272.625
5/6/2022,89750,112104.266
5/7/2022,131166,92719.49
5/8/2022,127007,109070.75
5/9/2022,69346,113668.18
5/10/2022,134323,87381.97
5/11/2022,113530,119764.18
5/12/2022,111552,108611.2
5/13/2022,82868,104968.19
5/14/2022,97037,101342.586
5/15/2022,67925,100188.83
5/16/2022,76673,87998
5/17/2022,66061,86247.89
5/18/2022,61887,83087.26
5/19/2022,105590,75035.38
5/20/2022,90281,94191.664
5/21/2022,72286,84580.78
5/22/2022,87120,79786.836
5/23/2022,66084,89424.79
5/24/2022,77203,76593.875
5/25/2022,86547,81757.766
5/26/2022,62060,86249.24
5/27/2022,69940,73645.02
5/28/2022,57335,80676.06
5/29/2022,66387,73923.43
5/30/2022,76630,75076.19
5/31/2022,68693,81457.766
6/1/2022,89781,74780.48
6/2/2022,58128,85726.08
6/3/2022,73218,73794.6
6/4/2022,83160,78859.75
6/5/2022,56750,84399.46
6/6/2022,81018,71122.484
6/7/2022,103833,84618.445
6/8/2022,40940,88878.086
6/9/2022,59410,68879.55
6/10/2022,50034,77756.33
6/11/2022,55668,72063.03
6/12/2022,56634,69118.64
6/13/2022,84500,76206
6/14/2022,99988,79121.37
6/15/2022,106557,87086.945
