Date,Actual value,Predicted value
8/13/2021,33966,80538.016
8/14/2021,61960,54014.273
8/15/2021,157095,75695.29
8/16/2021,102823,116158.25
8/17/2021,61322,104994.05
8/18/2021,69378,85780.555
8/19/2021,107536,103601.07
8/20/2021,109833,109717.055
8/21/2021,107530,114135.266
8/22/2021,73484,122252.664
8/23/2021,142213,111267.33
8/24/2021,51315,143788.94
8/25/2021,29192,111872.68
8/26/2021,63883,71426.83
8/27/2021,90772,103721.3
8/28/2021,53209,93563.94
8/29/2021,96213,75067.8
8/30/2021,138100,99044.03
8/31/2021,58662,121252.07
9/1/2021,58634,93970.54
9/2/2021,60796,88437.68
9/3/2021,62228,96657.484
9/4/2021,68080,77004.484
9/5/2021,88804,83374.27
9/6/2021,54910,94240.625
9/7/2021,47374,77145.19
9/8/2021,42104,67768.836
9/9/2021,114497,74598.22
9/10/2021,71266,90810.72
9/11/2021,45803,89350.555
9/12/2021,88125,58957.543
9/13/2021,82894,97806.45
9/14/2021,83474,91948.34
9/15/2021,49786,80271.46
9/16/2021,32426,87530.55
9/17/2021,38371,60338.055
9/18/2021,59191,66033.87
9/19/2021,61842,72808.45
9/20/2021,50799,67004.11
9/21/2021,24036,65091.54
9/22/2021,35014,57341.855
9/23/2021,23288,55134.38
9/24/2021,27525,56795.91
9/25/2021,52487,48537.633
9/26/2021,24208,64722.06
9/27/2021,47193,53150.082
9/28/2021,15156,52527.387
9/29/2021,52823,58796.51
9/30/2021,61859,52583.91
10/1/2021,46750,72763.6
10/2/2021,40940,57903.543
10/3/2021,75250,56405.266
10/4/2021,81810,78353.34
10/5/2021,77910,78958.836
10/6/2021,51470,73234.75
10/7/2021,29225,76568.76
10/8/2021,31752,57073.977
10/9/2021,49694,59622.71
10/10/2021,49940,66624.54
10/11/2021,103455,60811.836
10/12/2021,57736,83707.21
10/13/2021,81751,79901.516
10/14/2021,109635,66634.99
10/15/2021,188509,108056.06
10/16/2021,138592,140967.56
10/17/2021,97800,133943.66
10/18/2021,84550,132716.53
10/19/2021,59186,135543.48
10/20/2021,112861,118855.68
10/21/2021,143470,132653.12
10/22/2021,142483,140201.84
10/23/2021,132564,145550.2
10/24/2021,147751,144528.1
10/25/2021,121674,158048.53
10/26/2021,103134,143311.81
10/27/2021,137546,146033.12
10/28/2021,189165,155353.9
10/29/2021,201418,167828.22
10/30/2021,155179,164873.72
10/31/2021,113981,151701.3
11/1/2021,166340,149878.12
11/2/2021,157060,168788.06
11/3/2021,152581,153886.95
11/4/2021,166469,160673.95
11/5/2021,131754,159984.86
11/6/2021,136876,152235.88
11/7/2021,105772,156560.45
11/8/2021,170160,146306.33
11/9/2021,191858,169849.77
11/10/2021,201970,161821.3
11/11/2021,171590,169768.42
11/12/2021,163105,153785.31
11/13/2021,153740,162779.67
11/14/2021,167021,156859.47
11/15/2021,154135,164818.58
11/16/2021,111898,156092.45
11/17/2021,121493,149587.89
11/18/2021,79190,154556.7
11/19/2021,70482,136970
11/20/2021,51837,128868.734
11/21/2021,53564,110685.94
11/22/2021,92537,87964.19
11/23/2021,147807,103569.71
11/24/2021,101636,127264.38
11/25/2021,167891,117583.27
11/26/2021,193905,158888.72
11/27/2021,170001,157990.89
11/28/2021,154262,156471.02
11/29/2021,108250,151366.75
11/30/2021,188356,149720.83
12/1/2021,142288,171867.56
12/2/2021,58558,149283.27
12/3/2021,142409,134807.83
12/4/2021,157945,167742.42
