Date,Actual value,Predicted value
8/13/2021,39079,78523.66
8/14/2021,85302,67030.88
8/15/2021,216953,69506.305
8/16/2021,146821,173964.67
8/17/2021,86181,116602.95
8/18/2021,104546,79973.67
8/19/2021,152104,154221.22
8/20/2021,156331,156570.52
8/21/2021,141151,132638.38
8/22/2021,101475,144603.05
8/23/2021,180155,116970.77
8/24/2021,67682,170675.14
8/25/2021,34311,104591.37
8/26/2021,106044,102655.75
8/27/2021,103899,108382.164
8/28/2021,73689,103118.25
8/29/2021,133136,87561.836
8/30/2021,175310,104009.39
8/31/2021,83110,139734.45
9/1/2021,87637,87878.08
9/2/2021,96839,93824.5
9/3/2021,84301,119711.26
9/4/2021,104654,92814.766
9/5/2021,123792,98814.18
9/6/2021,78351,100468.17
9/7/2021,64277,79944.62
9/8/2021,59220,71787.87
9/9/2021,142552,69214.44
9/10/2021,95045,97472.21
9/11/2021,68361,77161.09
9/12/2021,123228,68562.984
9/13/2021,112727,94355.45
9/14/2021,107757,90784.016
9/15/2021,68748,86461.49
9/16/2021,29239,73766.48
9/17/2021,37848,64784.137
9/18/2021,73636,63603.516
9/19/2021,72078,65579.27
9/20/2021,53106,65683.2
9/21/2021,29353,64128.582
9/22/2021,42975,62889.367
9/23/2021,29435,63445.383
9/24/2021,32748,63012.13
9/25/2021,84672,63010.918
9/26/2021,41326,66895.195
9/27/2021,37945,63769.414
9/28/2021,12360,63084.805
9/29/2021,72067,62626.035
9/30/2021,89893,65256.004
10/1/2021,84029,68723.11
10/2/2021,53350,68189.19
10/3/2021,95215,64588.19
10/4/2021,108632,70538.93
10/5/2021,84076,78397.984
10/6/2021,57815,70790.19
10/7/2021,13620,65713.08
10/8/2021,40735,62593.703
10/9/2021,40245,63271.97
10/10/2021,45785,63272.75
10/11/2021,91573,63422.074
10/12/2021,52758,68127.51
10/13/2021,74113,64616.062
10/14/2021,9870,65707.68
10/15/2021,174824,62593.066
10/16/2021,116515,101292.77
10/17/2021,85040,84174.19
10/18/2021,76005,72310.805
10/19/2021,55648,75057.56
10/20/2021,113863,69909.5
10/21/2021,152798,82769.945
10/22/2021,134129,107457.26
10/23/2021,139326,105059.484
10/24/2021,126189,115545.086
10/25/2021,110555,126584.914
10/26/2021,93263,132908.67
10/27/2021,128648,113596.65
10/28/2021,171463,124690.94
10/29/2021,184252,146037.05
10/30/2021,154449,160612
10/31/2021,109525,141204.56
11/1/2021,154440,133722.25
11/2/2021,149160,163025.4
11/3/2021,144902,127909.34
11/4/2021,151418,154243.69
11/5/2021,115694,134577.44
11/6/2021,116649,134365.67
11/7/2021,89726,125437.46
11/8/2021,143146,118597.26
11/9/2021,183942,138317.31
11/10/2021,189632,149526.52
11/11/2021,146625,163892.06
11/12/2021,137039,137797.28
11/13/2021,154965,150401.06
11/14/2021,177207,144753.52
11/15/2021,156082,157749.52
11/16/2021,110829,142332.3
11/17/2021,136920,130077.086
11/18/2021,103116,140892.58
11/19/2021,65071,121292.3
11/20/2021,51787,110502.1
11/21/2021,60734,99921.516
11/22/2021,105247,93939.97
11/23/2021,167297,94126.375
11/24/2021,113244,120868.99
11/25/2021,183439,96433.88
11/26/2021,207310,156930.61
11/27/2021,194000,184570.3
11/28/2021,185475,159256
11/29/2021,166922,163454.36
11/30/2021,168785,141731.97
12/1/2021,129481,161554.6
12/2/2021,98025,131937.27
12/3/2021,158453,129154.55
12/4/2021,210984,146315.97
12/5/2021,160444,169533.84
12/6/2021,131921,149466.73
12/7/2021,154924,126795.73
12/8/2021,138248,165853.22
12/9/2021,171935,132776.78
12/10/2021,150033,164853.16
12/11/2021,191165,135245.28
12/12/2021,192638,169175.42
12/13/2021,144034,151786.34
12/14/2021,102509,146773.52
12/15/2021,134582,121910.45
12/16/2021,158348,156833.23
12/17/2021,157298,132965.92
12/18/2021,74067,158864.77
12/19/2021,116039,107843.57
12/20/2021,152550,150205.08
12/21/2021,168464,121310.805
12/22/2021,198134,168250.64
12/23/2021,196060,152493.83
12/24/2021,156277,162401.55
12/25/2021,169670,147121.58
12/26/2021,173823,161328.08
12/27/2021,176895,148222.72
12/28/2021,113157,163416.56
12/29/2021,132941,125465.016
12/30/2021,101975,149097.28
12/31/2021,61745,114426.45
1/1/2022,53769,118643.22
1/2/2022,120265,98553.34
1/3/2022,150034,120999.484
1/4/2022,131600,117280.01
1/5/2022,128678,118489.4
1/6/2022,111039,121540.69
1/7/2022,148098,126058.02
1/8/2022,175940,148543.6
1/9/2022,118879,137968.16
1/10/2022,150180,131796.56
1/11/2022,209359,141987.23
1/12/2022,152256,169009.8
1/13/2022,50266,143196.69
1/14/2022,19278,106301.21
1/15/2022,97249,103290.94
1/16/2022,174653,113859.33
1/17/2022,46653,134975.11
1/18/2022,178956,91617.79
1/19/2022,151363,155893.39
1/20/2022,201707,125715.85
1/21/2022,200883,179241.73
1/22/2022,146097,161236.38
1/23/2022,155185,142177.22
1/24/2022,207755,155199.17
1/25/2022,209719,162025.02
1/26/2022,200864,168079.9
1/27/2022,210368,157490.53
1/28/2022,216960,162199.48
1/29/2022,181567,172509.55
1/30/2022,107945,159441.55
1/31/2022,154925,129307.58
2/1/2022,219336,161338.53
2/2/2022,203867,162439.02
2/3/2022,161898,172816.05
2/4/2022,135905,134320.97
2/5/2022,156333,152762.98
2/6/2022,218919,151401.34
2/7/2022,206153,180270.56
2/8/2022,154515,162926.55
2/9/2022,145324,129313.49
2/10/2022,210400,168222.53
2/11/2022,174817,166943.47
2/12/2022,162195,164494.5
2/13/2022,162600,135473.45
2/14/2022,82602,161866.38
2/15/2022,118605,120167.99
2/16/2022,73058,150390.48
2/17/2022,70238,103321.39
2/18/2022,71247,118841.88
2/19/2022,215090,98419.63
2/20/2022,174001,179387.64
2/21/2022,168089,147425.64
2/22/2022,161783,127605.21
2/23/2022,119510,187642.4
2/24/2022,85810,134861.44
2/25/2022,123552,120298.25
2/26/2022,178629,138844.83
2/27/2022,185440,157309.33
2/28/2022,195502,161703.03
3/1/2022,227021,153103.61
3/2/2022,177235,178217.55
3/3/2022,133297,155334.06
3/4/2022,163085,139117.5
3/5/2022,162812,157085.8
3/6/2022,134020,150953.39
3/7/2022,110584,140653
3/8/2022,127297,124858.79
3/9/2022,131668,141622.44
3/10/2022,132007,129058.62
3/11/2022,173644,138029.61
3/12/2022,151935,149553.73
3/13/2022,171366,143611.56
3/14/2022,160872,152553.86
3/15/2022,159752,147919.9
3/16/2022,193205,149565
3/17/2022,187022,158643.98
3/18/2022,86312,158149.19
3/19/2022,30627,118709.65
3/20/2022,21701,106551.15
3/21/2022,57523,97434.78
3/22/2022,42727,96270.164
3/23/2022,68768,79365.65
3/24/2022,192812,72716.516
3/25/2022,171743,135348.8
3/26/2022,189010,133789.52
3/27/2022,213444,167552.25
3/28/2022,207027,177656.97
3/29/2022,218872,174640.47
3/30/2022,202742,169022.84
3/31/2022,171722,157626.23
4/1/2022,184203,163619.83
4/2/2022,154147,155264.36
4/3/2022,122715,143738.52
4/4/2022,130856,139446.72
4/5/2022,179878,140246.16
4/6/2022,156220,158555.67
4/7/2022,180502,145025.25
4/8/2022,145632,152659.44
4/9/2022,171693,141384.58
4/10/2022,165293,160307.92
4/11/2022,68775,143514.6
4/12/2022,60067,116277.88
4/13/2022,108422,110166.68
4/14/2022,82057,122586.195
4/15/2022,43582,104584.234
4/16/2022,79268,91447.59
4/17/2022,106445,87061.74
4/18/2022,165621,86681.93
4/19/2022,181936,119273.914
4/20/2022,137957,152800.28
4/21/2022,114268,120471.8
4/22/2022,53870,128357.05
4/23/2022,39949,129099.164
4/24/2022,66076,97343.47
4/25/2022,90756,102138.52
4/26/2022,114821,90825.08
4/27/2022,58122,92929.73
4/28/2022,106233,72099.086
4/29/2022,162340,78309.66
4/30/2022,150786,131870.28
5/1/2022,106763,119724.26
5/2/2022,144389,96997.375
5/3/2022,130771,157037.3
5/4/2022,88440,137399.64
5/5/2022,164980,109469.58
5/6/2022,104280,161864.33
5/7/2022,142901,108548.28
5/8/2022,111497,150550.25
5/9/2022,105540,112740.43
5/10/2022,144943,128369.61
5/11/2022,121440,128700.375
5/12/2022,122252,123474.5
5/13/2022,96795,124568.86
5/14/2022,106111,112216.53
5/15/2022,91611,116558.69
5/16/2022,109202,103880.91
5/17/2022,107703,108188.6
5/18/2022,73809,101442.73
5/19/2022,111889,85456.88
5/20/2022,116565,94846.48
5/21/2022,84511,96510.15
5/22/2022,108250,80874.75
5/23/2022,115284,89085.86
5/24/2022,134350,96243.17
